Time, Delta, Dela Prev, Data Id, Data Type, Data Count, Ip Address, Data
2019-05-08 13:25:09.279307,5.429655,0.004986,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:09.281302,5.43165,0.001995,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:09.283296,5.433644,0.001994,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:09.287286,5.437634,0.00399,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:09.289282,5.43963,0.001996,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:09.292271,5.442619,0.002989,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:09.294267,5.444615,0.001996,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:09.298257,5.448605,0.00399,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:09.300250,5.450598,0.001993,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:09.303243,5.453591,0.002993,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:09.305238,5.455586,0.001995,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:09.309229,5.459577,0.003991,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:09.312220,5.462568,0.002991,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:09.315222,5.46557,0.003002,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:09.317206,5.467554,0.001984,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:09.317206,5.467554,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:09.318204,5.468552,0.000998,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:09.318204,5.468552,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:09.318204,5.468552,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:09.318204,5.468552,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:09.319201,5.469549,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:09.319201,5.469549,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:09.319201,5.469549,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:09.319201,5.469549,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:09.320198,5.470546,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:09.320198,5.470546,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:09.320198,5.470546,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:09.320198,5.470546,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:09.321195,5.471543,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:09.321195,5.471543,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:09.321195,5.471543,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:09.321195,5.471543,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:09.322191,5.472539,0.000996,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:09.322191,5.472539,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:09.322191,5.472539,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:09.322191,5.472539,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:09.323190,5.473538,0.000999,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:25:09.323190,5.473538,0.0,0,b,0,('0.0.0.0', 11000),()
