Time, Delta, Dela Prev, Data Id, Data Type, Data Count, Ip Address, Data
2019-05-08 13:26:18.550741,2.518112,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.550741,2.518112,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.551738,2.519109,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.551738,2.519109,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.551738,2.519109,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.552736,2.520107,0.000998,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.552736,2.520107,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.553734,2.521105,0.000998,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.553734,2.521105,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.554731,2.522102,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.554731,2.522102,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.555729,2.5231,0.000998,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.555729,2.5231,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.556725,2.524096,0.000996,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.560715,2.528086,0.00399,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.561712,2.529083,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.561712,2.529083,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.562709,2.53008,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.562709,2.53008,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.563707,2.531078,0.000998,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.563707,2.531078,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.563707,2.531078,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.564705,2.532076,0.000998,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.565701,2.533072,0.000996,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.565701,2.533072,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.566699,2.53407,0.000998,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.566699,2.53407,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.567703,2.535074,0.001004,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.567703,2.535074,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.568693,2.536064,0.00099,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.568693,2.536064,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.569691,2.537062,0.000998,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.572684,2.540055,0.002993,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.573680,2.541051,0.000996,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.574679,2.54205,0.000999,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.575690,2.543061,0.001011,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.576673,2.544044,0.000983,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.576673,2.544044,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.577670,2.545041,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.577670,2.545041,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.578667,2.546038,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.579669,2.54704,0.001002,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.580661,2.548032,0.000992,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.580661,2.548032,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.580661,2.548032,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.584651,2.552022,0.00399,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.584651,2.552022,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.585648,2.553019,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.585648,2.553019,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.598614,2.565985,0.012966,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.600609,2.56798,0.001995,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.600609,2.56798,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.600609,2.56798,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.601605,2.568976,0.000996,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.601605,2.568976,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.601605,2.568976,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.601605,2.568976,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.602602,2.569973,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.602602,2.569973,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.602602,2.569973,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.603601,2.570972,0.000999,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.603601,2.570972,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.603601,2.570972,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.607590,2.574961,0.003989,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.607590,2.574961,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.608587,2.575958,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.609596,2.576967,0.001009,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.609596,2.576967,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.609596,2.576967,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.610582,2.577953,0.000986,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.610582,2.577953,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.610582,2.577953,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.611579,2.57895,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.611579,2.57895,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.611579,2.57895,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.612576,2.579947,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.612576,2.579947,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.612576,2.579947,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.613573,2.580944,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.613573,2.580944,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.613573,2.580944,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.614573,2.581944,0.001,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.614573,2.581944,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.614573,2.581944,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.618561,2.585932,0.003988,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.618561,2.585932,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.618561,2.585932,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.619558,2.586929,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.619558,2.586929,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.620555,2.587926,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.620555,2.587926,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.620555,2.587926,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.621552,2.588923,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.621552,2.588923,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.621552,2.588923,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.622550,2.589921,0.000998,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.622550,2.589921,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.622550,2.589921,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.623547,2.590918,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.623547,2.590918,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.623547,2.590918,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.624550,2.591921,0.001003,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.624550,2.591921,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.625550,2.592921,0.001,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.625550,2.592921,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.628535,2.595906,0.002985,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.629531,2.596902,0.000996,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.629531,2.596902,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.629531,2.596902,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.630529,2.5979,0.000998,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.631526,2.598897,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.631526,2.598897,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.631526,2.598897,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.632523,2.599894,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.632523,2.599894,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.632523,2.599894,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.633521,2.600892,0.000998,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.634518,2.601889,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.634518,2.601889,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.635516,2.602887,0.000998,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.635516,2.602887,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.636513,2.603884,0.000997,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.636513,2.603884,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.636513,2.603884,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.639505,2.606876,0.002992,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.639505,2.606876,0.0,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:26:18.640503,2.607874,0.000998,0,b,0,('0.0.0.0', 11000),()
