Time, Delta, Delat Prev, Data Id, Data Type, Data Count, Ip Address, Data
2019-05-08 13:22:52.917339,2.360562,2019-05-08 13:22:52.917339,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.921328,2.364551,2019-05-08 13:22:52.921328,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.923322,2.366545,2019-05-08 13:22:52.923322,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.926316,2.369539,2019-05-08 13:22:52.926316,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.929307,2.37253,2019-05-08 13:22:52.929307,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.932299,2.375522,2019-05-08 13:22:52.932299,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.934293,2.377516,2019-05-08 13:22:52.934293,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.936288,2.379511,2019-05-08 13:22:52.936288,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.937285,2.380508,2019-05-08 13:22:52.937285,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.942275,2.385498,2019-05-08 13:22:52.942275,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.944267,2.38749,2019-05-08 13:22:52.944267,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.946263,2.389486,2019-05-08 13:22:52.946263,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.947259,2.390482,2019-05-08 13:22:52.947259,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.951257,2.39448,2019-05-08 13:22:52.951257,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.953243,2.396466,2019-05-08 13:22:52.953243,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.954240,2.397463,2019-05-08 13:22:52.954240,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.956235,2.399458,2019-05-08 13:22:52.956235,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.957232,2.400455,2019-05-08 13:22:52.957232,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.962221,2.405444,2019-05-08 13:22:52.962221,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.965212,2.408435,2019-05-08 13:22:52.965212,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.967207,2.41043,2019-05-08 13:22:52.967207,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.971198,2.414421,2019-05-08 13:22:52.971198,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.973190,2.416413,2019-05-08 13:22:52.973190,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.976183,2.419406,2019-05-08 13:22:52.976183,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.978177,2.4214,2019-05-08 13:22:52.978177,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.982167,2.42539,2019-05-08 13:22:52.982167,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.984162,2.427385,2019-05-08 13:22:52.984162,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.987153,2.430376,2019-05-08 13:22:52.987153,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.991143,2.434366,2019-05-08 13:22:52.991143,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.994135,2.437358,2019-05-08 13:22:52.994135,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.996129,2.439352,2019-05-08 13:22:52.996129,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:52.998123,2.441346,2019-05-08 13:22:52.998123,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.002114,2.445337,2019-05-08 13:22:53.002114,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.004108,2.447331,2019-05-08 13:22:53.004108,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.007100,2.450323,2019-05-08 13:22:53.007100,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.011090,2.454313,2019-05-08 13:22:53.011090,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.013085,2.456308,2019-05-08 13:22:53.013085,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.016076,2.459299,2019-05-08 13:22:53.016076,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.018071,2.461294,2019-05-08 13:22:53.018071,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.022061,2.465284,2019-05-08 13:22:53.022061,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.024055,2.467278,2019-05-08 13:22:53.024055,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.027047,2.47027,2019-05-08 13:22:53.027047,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.031037,2.47426,2019-05-08 13:22:53.031037,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.033033,2.476256,2019-05-08 13:22:53.033033,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.036023,2.479246,2019-05-08 13:22:53.036023,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.038018,2.481241,2019-05-08 13:22:53.038018,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.042020,2.485243,2019-05-08 13:22:53.042020,0,b,0,('0.0.0.0', 11000),()
